imdb_id,popularity,url,original_title,release_year,director,writer,actor,genre,region,language,release_date,runtime,alternative_title,vote_average,vote_count,vote_start5_percent,vote_start4_percent,vote_start3_percent,vote_start2_percent,vote_start1_percent,tag,watched_count,towatch_count,short_review_count,full_review_count,discussion_count,ask_count,release_year_level,first_release_date,first_release_place,budget_adj,revenue_adj
tt0111161,hot,https://movie.douban.com/subject/1292052/,肖申克的救赎 The Shawshank Redemption,1994,弗兰克·德拉邦特,"弗兰克·德拉邦特, 斯蒂芬·金","蒂姆·罗宾斯, 摩根·弗里曼, 鲍勃·冈顿, 威廉姆·赛德勒, 克兰西·布朗, 吉尔·贝罗斯, 马克·罗斯顿, 詹姆斯·惠特摩, 杰弗里·德曼, 拉里·布兰登伯格, 尼尔·吉恩托利, 布赖恩·利比, 大卫·普罗瓦尔, 约瑟夫·劳格诺, 祖德·塞克利拉, 保罗·麦克兰尼, 芮妮·布莱恩, 阿方索·弗里曼, V·J·福斯特, 弗兰克·梅德拉诺, 马克·迈尔斯, 尼尔·萨默斯, 耐德·巴拉米, 布赖恩·戴拉特, 唐·麦克马纳斯","剧情, 犯罪",美国 , 英语 ,"1994-09-10(多伦多电影节)', '1994-10-14(美国)",142, 月黑高飞(港) / 刺激1995(台) / 地狱诺言 / 铁窗岁月 / 消香克的救赎,9.7,1923567,85.1,13.4,1.3,0.1,0.1,"经典, 励志, 信念, 自由, 人性, 人生, 美国, 希望",2754309,285539,348776,9361,1634,85,1990-2000,1994-09-10,美国,36777789.039954,41693462.718575895
tt0120338,hot,https://movie.douban.com/subject/1292722/,泰坦尼克号 Titanic,1997,詹姆斯·卡梅隆,詹姆斯·卡梅隆,"莱昂纳多·迪卡普里奥, 凯特·温丝莱特, 比利·赞恩, 凯西·贝茨, 弗兰西丝·费舍, 格劳瑞亚·斯图尔特, 比尔·帕克斯顿, 伯纳德·希尔, 大卫·沃纳, 维克多·加博, 乔纳森·海德, 苏茜·爱米斯, 刘易斯·阿伯内西, 尼古拉斯·卡斯柯恩, 阿那托利·萨加洛维奇, 丹尼·努齐, 杰森·贝瑞, 伊万·斯图尔特, 艾恩·格拉法德, 乔纳森·菲利普斯, 马克·林赛·查普曼, 理查德·格拉翰, 保罗·布赖特威尔, 艾瑞克·布里登, 夏洛特·查顿, 博纳德·福克斯, 迈克尔·英塞恩, 法妮·布雷特, 马丁·贾维斯, 罗莎琳·艾尔斯, 罗切尔·罗斯, 乔纳森·伊万斯-琼斯, 西蒙·克雷恩, 爱德华德·弗莱彻, 斯科特·安德森, 马丁·伊斯特, 克雷格·凯利, 格雷戈里·库克, 利亚姆·图伊, 詹姆斯·兰开斯特, 艾尔莎·瑞雯, 卢·帕尔特, 泰瑞·佛瑞斯塔, 凯文·德·拉·诺伊","剧情, 爱情, 灾难",美国 , 英语 / 意大利语 / 德语 / 俄语 ,"1998-04-03(中国大陆)', '1997-11-01(东京电影节)', '1997-12-19(美国)",194, 铁达尼号(港/台),9.4,1406886,74.0,22.2,3.6,0.2,0.1,"爱情, 经典, 灾难, 浪漫, 美国, 感动, 奥斯卡, 大片",2312578,139284,206730,3135,662,21,1990-2000,1998-04-03,美国,271692064.214419,2506405735.41947
tt0109830,hot,https://movie.douban.com/subject/1292720/,阿甘正传 Forrest Gump,1994,罗伯特·泽米吉斯,"艾瑞克·罗斯, 温斯顿·格鲁姆","汤姆·汉克斯, 罗宾·怀特, 加里·西尼斯, 麦凯尔泰·威廉逊, 莎莉·菲尔德, 海利·乔·奥斯蒙, 迈克尔·康纳·亨弗里斯, 哈罗德·G·赫瑟姆, 山姆·安德森, 伊俄涅·M·特雷奇, 彼得·道博森, 希芳·法隆, 伊丽莎白·汉克斯, 汉娜·豪尔, 克里斯托弗·琼斯, 罗布·兰德里, 杰森·麦克奎尔, 桑尼·施罗耶, 艾德·戴维斯, 丹尼尔C.斯瑞派克, 大卫·布里斯宾, 德博拉·麦克蒂尔, 艾尔·哈林顿, 阿非莫·奥米拉, 约翰·沃德斯塔德, 迈克尔·伯吉斯, 埃里克·安德伍德, 拜伦·明斯, 斯蒂芬·布吉格沃特, 约翰·威廉·高尔特, 希拉里·沙普兰, 伊莎贝尔·罗斯, 理查德·达历山德罗, 迪克·史迪威, 迈克尔-杰斯, 杰弗里·布莱克, 瓦妮莎·罗斯, 迪克·卡维特, 马拉·苏查雷特扎, 乔·阿拉斯奇, W·本森·泰瑞","剧情, 爱情",美国 , 英语 ,"1994-06-23(洛杉矶首映)', '1994-07-06(美国)",142, 福雷斯特·冈普,9.5,1462013,76.5,20.5,2.7,0.2,0.1,"励志, 经典, 人生, 美国, 成长, 信念, 剧情, 人性",2349904,228478,223805,4739,690,48,1990-2000,1994-06-23,美国,80911135.8878989,997333314.6011789
tt0817177,hot,https://movie.douban.com/subject/3319755/,怦然心动 Flipped,2010,罗伯·莱纳,"罗伯·莱纳, 安德鲁·沙因曼, 文德琳·范·德拉安南","玛德琳·卡罗尔, 卡兰·麦克奥利菲, 瑞贝卡·德·莫妮, 安东尼·爱德华兹, 约翰·马奥尼, 佩内洛普·安·米勒, 艾丹·奎因, 凯文·韦斯曼, 摩根·莉莉, 瑞安·克茨纳, 吉莉安·普法夫, 迈克尔·博萨, 博·勒纳, 杰奎琳·埃沃拉, 泰勒·格鲁秀斯, 艾莉·布莱恩特, 阿什莉·泰勒, 伊瑟尔·布罗萨德, 科迪·霍恩, 迈克尔·博尔顿, 肖恩·哈珀, 斯戴芬妮·斯考特, 帕特丽夏·伦茨, 马修·戈尔德, 阿罗拉·凯瑟琳·史密斯, 凯莉·唐纳利, 索菲亚·撒高, 米歇尔·梅斯默, Scott Joel Gizicki, Rod Myers, Kara Pacitto, Katelyn Pacitto","剧情, 喜剧, 爱情",美国 , 英语 ,"2010-07-26(好莱坞首映)', '2010-09-10(美国)",90, 萌动青春 / 青春萌动 / 冒失 / 梧桐树之恋,9.1,1196930,60.8,31.8,6.8,0.4,0.1,"爱情, 青春, 成长, 初恋, 浪漫, 温情, 文艺, 经典",1900889,280075,268484,5747,355,35,2000-2010,2010-07-26,美国,14000000.0,1755212.0
tt1187043,hot,https://movie.douban.com/subject/3793023/,三傻大闹宝莱坞 3 Idiots,2009,拉吉库马尔·希拉尼,"维德胡·维诺德·乔普拉, 拉吉库马尔·希拉尼, 阿希贾特·乔希","阿米尔·汗, 卡琳娜·卡普尔, 马达范, 沙尔曼·乔希, 奥米·瓦依达, 博曼·伊拉尼, 莫娜·辛格, 拉杰夫·拉宾德拉纳特安","剧情, 喜剧, 爱情, 歌舞",印度 , 印地语 / 乌尔都语 / 英语 ,"2011-12-08(中国大陆)', '2009-12-25(印度)",171, 三个傻瓜(台) / 作死不离3兄弟(港) / 三个白痴 / 三个傻蛋 / 三个呆瓜 / 三生万悟 / 寻找兰彻 / Three Idiots,9.2,1294742,68.1,25.8,5.3,0.5,0.3,"励志, 印度, 喜剧, 搞笑, 人生, 宝莱坞, 经典, 剧情",2022489,154424,245155,4316,541,36,2000-2010,2011-12-08,印度,9147603.90712458,71148030.38874671
tt1375666,hot,https://movie.douban.com/subject/3541415/,盗梦空间 Inception,2010,克里斯托弗·诺兰,克里斯托弗·诺兰,"莱昂纳多·迪卡普里奥, 约瑟夫·高登-莱维特, 艾伦·佩吉, 汤姆·哈迪, 渡边谦, 迪利普·劳, 基里安·墨菲, 汤姆·贝伦杰, 玛丽昂·歌迪亚, 皮特·波斯尔思韦特, 迈克尔·凯恩, 卢卡斯·哈斯, 李太力, 克莱尔·吉尔蕾, 马格努斯·诺兰, 泰勒·吉蕾, 乔纳森·吉尔, 水源士郎, 冈本玉二, 厄尔·卡梅伦, 瑞恩·海沃德, 米兰达·诺兰, 拉什·费加, 蒂姆·科勒赫, 妲露拉·莱莉","剧情, 科幻, 悬疑, 冒险",美国 / 英国 , 英语 / 日语 / 法语 ,"2010-09-01(中国大陆)', '2010-07-16(美国)",148, 潜行凶间(港) / 全面启动(台) / 奠基 / 心灵犯案 / 记忆迷阵 / 记忆魔方,9.3,1407565,70.8,25.0,3.8,0.2,0.1,"科幻, 悬疑, 心理, 美国, 剧情, 经典, 哲学, 梦",2257781,267420,260504,5716,2259,103,2000-2010,2010-09-01,美国,160000000.0,825500000.0
tt1028532,hot,https://movie.douban.com/subject/3011091/,"""忠犬八公的故事 Hachi: A Dogs Tale""",2009,拉斯·霍尔斯道姆,"斯蒂芬·P·林赛, 新藤兼人","理查·基尔, 萨拉·罗默尔, 琼·艾伦, 罗比·萨布莱特, 艾瑞克·阿瓦利, 田川洋行, 杰森·亚历山大, 罗伯特·卡普荣",剧情,美国 / 英国 , 英语 / 日语 ,"2009-06-13(西雅图电影节)', '2010-03-12(英国)",93, 忠犬小八(台) / 秋田犬八千(港) / 忠犬传奇,9.4,968461,72.9,22.6,4.1,0.3,0.1,"感人, 温情, 动物, 温暖, 真实事件改编, 人性, 美国, 剧情",1723936,229801,197388,3491,432,26,2000-2010,2009-06-13,英国,16262406.9459992,48585352.5313757
tt0454921,hot,https://movie.douban.com/subject/1849031/,当幸福来敲门 The Pursuit of Happyness,2006,加布里埃莱·穆奇诺,斯蒂夫·康拉德,"威尔·史密斯, 贾登·史密斯, 坦迪·牛顿, 布莱恩·豪威 , 詹姆斯·凯伦, 丹·卡斯泰兰尼塔, 柯特·富勒, 塔卡尤·费舍尔, 凯文·韦斯特, 乔治·张, 戴维·迈克尔·西尔弗曼, 多米尼克·博夫, 杰弗·卡伦, 乔伊芙·拉文, 斯科特·克拉斯","剧情, 家庭, 传记",美国 , 英语 / 粤语 ,"2008-01-17(中国大陆)', '2006-12-15(美国)",117, 寻找快乐的故事(港) / 追求快乐 / 幸福追击 / The Pursuit of Happiness,9.1,1038231,62.4,31.0,6.1,0.4,0.1,"励志, 父子, 感动, 人生, 经典, 家庭, 美国电影, 剧情",1707248,196001,154357,3837,502,14,2000-2010,2008-01-17,美国,59491803.7060365,332156039.213103
tt0120382,hot,https://movie.douban.com/subject/1292064/,楚门的世界 The Truman Show,1998,彼得·威尔,安德鲁·尼科尔,"金·凯瑞, 劳拉·琳妮, 艾德·哈里斯, 诺亚·艾默里奇, 娜塔莎·麦克艾霍恩","剧情, 科幻",美国 , 英语 ,1998-06-05(美国),103, 真人Show(港) / 真人戏 / 真人世界 / 楚门秀 / 真人秀,9.3,1030908,68.5,27.2,4.0,0.2,0.1,"人性, 经典, 楚门的世界, 美国, 剧情, 人生, 自由, JimCarrey",1603553,290513,190050,5058,491,54,1990-2000,1998-06-05,美国,80261728.1446979,353309720.778811
tt0499549,hot,https://movie.douban.com/subject/1652587/,阿凡达 Avatar,2009,詹姆斯·卡梅隆,詹姆斯·卡梅隆,"萨姆·沃辛顿, 佐伊·索尔达娜, 西格妮·韦弗, 史蒂芬·朗, 米歇尔·罗德里格兹, 吉奥瓦尼·瑞比西, 乔·大卫·摩尔 , 希·庞德, 韦斯·斯塔迪, 拉兹·阿隆索, 迪利普·劳, 马特·杰拉德, 肖恩·安东尼·莫兰","动作, 科幻, 冒险",美国 / 英国 , 英语 / 西班牙语 ,"2010-01-04(中国大陆)', '2009-12-18(美国)",162, 天神下凡(港) / 化身 / 异次元战神 / 神之化身,8.7,914976,50.2,36.8,11.8,0.9,0.3,"科幻, 3D, 美国, 震撼, IMAX, 史诗, 特效, 战争",1604531,105537,142461,4301,1789,17,2000-2010,2010-01-04,美国,240886902.887613,2827123750.41189
tt0816692,hot,https://movie.douban.com/subject/1889243/,星际穿越 Interstellar,2014,克里斯托弗·诺兰,"乔纳森·诺兰, 克里斯托弗·诺兰","马修·麦康纳, 安妮·海瑟薇, 杰西卡·查斯坦, 卡西·阿弗莱克, 迈克尔·凯恩, 马特·达蒙, 麦肯吉·弗依, 蒂莫西·柴勒梅德, 艾伦·伯斯汀, 约翰·利思戈, 韦斯·本特利, 大卫·吉亚西, 比尔·欧文, 托弗·戈瑞斯, 科莱特·沃夫, 弗朗西斯·X·麦卡蒂, 安德鲁·博尔巴, 乔什·斯图沃特, 莱雅·卡里恩斯, 利亚姆·迪金森, 杰夫·赫普内尔, 伊莱耶斯·加贝尔, 布鲁克·史密斯, 大卫·奥伊罗, 威廉姆·德瓦内, 拉什·费加, 格里芬·弗雷泽, 弗洛拉·诺兰","剧情, 科幻, 冒险",美国 / 英国 / 加拿大 / 冰岛 , 英语 ,"2014-11-12(中国大陆)', '2014-11-07(美国)",169," 星际启示录(港) / 星际效应(台) / 星际空间 / 星际之间 / 星际远航 / 星际 / Flora's Letter""",9.3,1042397,70.9,23.7,4.6,0.4,0.3,"科幻, 太空, 宇宙, 美国, 人性, 亲情, 冒险, 震撼",1583490,224291,237262,4904,667,1208,2010-2020,2014-11-12,美国,151980023.37728998,572690645.122961
tt0241527,hot,https://movie.douban.com/subject/1295038/,"""哈利·波特与魔法石 Harry Potter and the Sorcerers Stone""",2001,克里斯·哥伦布,"史蒂夫·克洛夫斯, J·K·罗琳","丹尼尔·雷德克里夫, 艾玛·沃森, 鲁伯特·格林特, 艾伦·瑞克曼, 玛吉·史密斯, 汤姆·费尔顿, 伊恩·哈特, 理查德·哈里斯, 约翰·赫特, 罗彼·考特拉尼, 朱丽·沃特斯, 邦妮·怀特, 约翰·克立斯, 肖恩·比格斯代夫","奇幻, 冒险",美国 / 英国 , 英语 ,"2002-01-26(中国大陆)', '2001-11-04(英国首映)', '2001-11-16(美国)",152," 哈利波特1：神秘的魔法石(港/台) / 哈1 / Harry Potter and the Philosopher's Stone""",9.0,608511,58.3,33.6,7.6,0.4,0.1,"哈利波特, 魔幻, 奇幻, 英国, 经典, 美国, harrypotter, 成长",1029686,52457,71170,519,91,11,2000-2010,2002-01-26,美国,153936014.58673,1202518036.06708
tt1049413,hot,https://movie.douban.com/subject/2129039/,飞屋环游记 Up,2009,"彼特·道格特, 鲍勃·彼德森","彼特·道格特, 鲍勃·彼德森, 汤姆·麦卡锡","爱德华·阿斯纳, 克里斯托弗·普卢默, 乔丹·长井, 鲍勃·彼德森, 德尔罗伊·林多, 杰罗姆·兰福特, 约翰·拉岑贝格, 大卫·卡耶, 艾丽·道克特, 杰里米·利里, 米凯·麦高万, 丹尼·曼恩, 唐纳德·富利洛夫, 杰斯·哈梅尔, 乔什·库雷, 彼特·道格特","剧情, 喜剧, 动画, 冒险",美国 , 英语 ,"2009-08-04(中国大陆)', '2009-05-13(戛纳电影节)', '2009-05-29(美国)",96, 冲天救兵(港) / 天外奇迹(台) / 飞屋历险记,9.0,915583,58.1,34.4,7.0,0.3,0.1,"动画, 梦想, 美国, 冒险, 爱情, pixar, 温情, Disney",1494909,184347,136637,2634,503,15,2000-2010,2009-08-04,美国,177870075.97186598,743337082.495734
tt0454876,hot,https://movie.douban.com/subject/1929463/,少年派的奇幻漂流 Life of Pi,2012,李安,"扬·马特尔, 大卫·麦基","苏拉·沙玛, 伊尔凡·可汗, 拉菲·斯波, 阿迪勒·侯赛因, 塔布, 阿尤什·坦东, 加塔姆·贝鲁尔, 阿彦·汗, 穆德·阿巴斯·卡勒里, 维比什·希瓦库玛, 热拉尔·德帕迪约, 詹姆斯·塞托, 俊·奈托, 安德里亚·迪·斯戴法诺, 沙拉万提·塞纳特, 王柏杰, 柯一正, 黄健玮","剧情, 奇幻, 冒险",美国 / 中国台湾 / 英国 / 加拿大 , 英语 / 泰米尔语 / 法语 / 日语 / 印地语 / 汉语普通话 ,"2012-11-22(中国大陆)', '2012-09-28(纽约电影节)', '2012-11-21(美国)",127, 少年Pi的奇幻漂流 / 漂流少年Pi,9.1,988815,60.8,31.9,6.6,0.5,0.2,"奇幻, 冒险, 人性, 美国, 人生, 3D, 剧情, 文艺",1547134,204139,219002,7233,839,35,2010-2020,2012-11-22,美国,113969313.76226899,578409999.857538
tt1323594,hot,https://movie.douban.com/subject/3287562/,神偷奶爸 Despicable Me,2010,"皮埃尔·柯芬, 克里斯·雷纳德","肯·道里欧, 塞尔希奥·巴勃罗斯, 辛科·保罗","史蒂夫·卡瑞尔, 杰森·席格尔, 拉塞尔·布兰德, 朱莉·安德鲁斯, 威尔·阿奈特, 克里斯汀·韦格, 米兰达·卡斯格拉夫, 达纳·盖尔, 艾尔西·费舍尔, 皮埃尔·柯芬, 克里斯·雷纳德, 杰梅奈·克莱门特, 杰克·麦克布瑞尔, 丹尼·麦克布莱德, 敏迪·卡灵, 罗布·许贝尔, 肯·道里欧, 郑肯","喜剧, 动画, 冒险",美国 / 法国 , 英语 ,"2010-06-20(莫斯科电影节)', '2010-07-09(美国)",95, 卑鄙的我 / 坏蛋奖门人(港) / 偷天换“月”(港) / 我很贱 / Baby的我,8.6,671506,42.1,45.4,11.8,0.6,0.1,"动画, 喜剧, 美国, 卑鄙的我, 搞笑, 动画片, 美国电影, 温情",1174028,79947,91731,562,86,10,2000-2010,2010-06-20,美国,69000000.0,543513985.0
tt0848228,hot,https://movie.douban.com/subject/1866479/,复仇者联盟 The Avengers,2012,乔斯·韦登,"乔斯·韦登, 扎克·佩恩","小罗伯特·唐尼, 克里斯·埃文斯, 斯嘉丽·约翰逊, 克里斯·海姆斯沃斯, 杰瑞米·雷纳, 马克·鲁弗洛, 塞缪尔·杰克逊, 汤姆·希德勒斯顿, 斯特兰·斯卡斯加德, 寇碧·史莫德斯, 克拉克·格雷格, 保罗·贝坦尼, 格温妮斯·帕特洛","动作, 科幻, 奇幻, 冒险",美国 , 英语 / 俄语 ,"2012-05-05(中国大陆)', '2012-05-04(美国)",142, 复仇者 / 复联 / 妇联(豆友译名),8.2,532947,33.0,46.4,18.4,1.7,0.5,"科幻, 美国, 漫画英雄, 动作, MARVEL, 漫画改编, 漫威, 2012",1343720,45842,109062,1121,347,31,2010-2020,2012-05-05,美国,208943741.897494,1443191435.20607
tt0910970,hot,https://movie.douban.com/subject/2131459/,机器人总动员 WALL·E,2008,安德鲁·斯坦顿,"安德鲁·斯坦顿, 吉姆·里尔顿, 彼特·道格特","本·贝尔特, 艾丽莎·奈特, 杰夫·格尔林, 佛莱德·威拉特, 西格妮·韦弗, MacInTalk, 约翰·拉岑贝格, 凯茜·纳基麦, 泰迪·牛顿, 鲍伯·伯根, 洛丽·理查德森, 吉姆·瓦德, 彼特·道格特, 安德鲁·斯坦顿, 杰夫·皮金, 约翰·齐甘, 米凯·麦高万, 雪莉·琳恩, 克莱特·惠特克, 唐纳德·富利洛夫, 罗里·艾伦, 杰斯·哈梅尔, 拉瑞恩·纽曼, 扬·拉布森, 保罗·伊丁","科幻, 动画, 冒险",美国 , 英语 ,2008-06-27(美国),98, 瓦力(台) / 太空奇兵·威E(港) / 星际总动员 / 地球废品分装员 / 机器人瓦力 / walle,9.3,928591,71.3,24.3,4.1,0.2,0.1,"动画, 科幻, 感人, 美国, 皮克斯, 爱情, 环保, 迪斯尼",1458346,204761,151869,2744,884,19,2000-2010,2008-06-27,美国,182301594.08565,527977683.854196
tt2245084,hot,https://movie.douban.com/subject/11026735/,超能陆战队 Big Hero 6,2014,"唐·霍尔, 克里斯·威廉姆斯","乔丹·罗伯茨, 丹尼尔·吉尔森, 罗伯特·L·贝尔德","斯科特·安第斯, 瑞恩·波特, 丹尼尔·海尼, T·J·米勒, 杰米·钟, 小达蒙·韦恩斯, 珍尼希斯·罗德里格兹, 詹姆斯·克伦威尔, 艾伦·图代克, 玛娅·鲁道夫, 亚布拉哈姆·本鲁比, 凯蒂·洛斯, 比利·布什, 丹尼尔·吉尔森, 保罗·布里格斯","喜剧, 动作, 科幻, 动画, 冒险",美国 , 英语 ,"2015-02-28(中国大陆)', '2014-10-23(东京电影节)', '2014-11-07(美国)",102, 大英雄联盟(港) / 大英雄天团(台) / 六大英雄 / (●—●),8.7,669357,46.2,41.9,11.1,0.7,0.2,"动画, 迪斯尼, 美国, 科幻, 温情, 喜剧, 搞笑, 大白",1042732,62256,126678,780,62,143,2010-2020,2015-02-28,美国,151980023.37728998,600648487.706658
tt0371746,hot,https://movie.douban.com/subject/1432146/,钢铁侠 Iron Man,2008,乔恩·费儒,"阿特·马库姆, 马特·霍洛维, 马克·弗格斯, 霍克·奥斯比","小罗伯特·唐尼, 泰伦斯·霍华德, 格温妮斯·帕特洛, 杰夫·布里吉斯, 莱丝莉·比伯, 肖恩·托布 , 保罗·贝坦尼, 乔恩·费儒, 克拉克·格雷格","动作, 科幻, 惊悚, 冒险",美国 , 英语 / 波斯语 / 乌尔都语 / 阿拉伯语 ,"2008-04-30(中国大陆)', '2008-04-14(悉尼首映)', '2008-05-02(美国)",126, 铁甲奇侠(港) / 钢铁人(台) / 铁人,8.3,438467,33.2,48.5,17.0,1.0,0.2,"科幻, 美国, 动作, 超级英雄, 漫威, marvel, 2008, 漫画改编",1093166,27772,56844,695,282,9,2000-2010,2008-04-30,美国,141790128.733283,592656630.491278
tt0099487,hot,https://movie.douban.com/subject/1292370/,剪刀手爱德华 Edward Scissorhands,1990,蒂姆·波顿,"蒂姆·波顿, 卡罗琳·汤普森","约翰尼·德普, 薇诺娜·瑞德, 黛安·韦斯特, 安东尼·迈克尔·豪尔, 凯西·贝克, 罗伯特·奥利维里, 康查塔·费雷尔, 卡罗琳·阿隆, 迪克·安东尼·威廉姆斯, 澳澜·琼斯, 文森特·普莱斯, 艾伦·阿金, 苏珊·布洛马特, 约翰·戴维森, Bryan Larkin, Victoria Price, Stuart Lancaster, Gina Gallagher, 阿隆·鲁斯汀, 阿兰·弗吉, 史蒂文·布里尔, Peter Palmer, 马克·麦考利, 唐娜·派洛尼, Ken DeVaul, Kathy Dombo, Tabetha Thomas, 尼克·卡特","剧情, 爱情, 奇幻",美国 , 英语 ,1990-12-06(美国),105, 幻海奇缘(港),8.7,773845,48.0,40.0,11.0,0.8,0.2,"爱情, JohnnyDepp, 剪刀手爱德华, 经典, 童话, 美国, 科幻, TimBurton",1292094,184709,114879,2047,249,20,1980-1990,1990-12-06,美国,33377970.806291603,88451622.6366727
tt2395427,hot,https://movie.douban.com/subject/10741834/,复仇者联盟2：奥创纪元 Avengers: Age of Ultron,2015,乔斯·韦登,"乔斯·韦登, 斯坦·李, 杰克·科比","小罗伯特·唐尼, 克里斯·海姆斯沃斯, 马克·鲁弗洛, 克里斯·埃文斯, 斯嘉丽·约翰逊, 杰瑞米·雷纳, 詹姆斯·斯派德, 塞缪尔·杰克逊, 唐·钱德尔, 亚伦·泰勒-约翰逊, 伊丽莎白·奥尔森, 保罗·贝坦尼, 寇碧·史莫德斯, 安东尼·麦凯, 海莉·阿特维尔, 伊德里斯·艾尔巴, 斯特兰·斯卡斯加德, 金秀贤, 托马斯·克莱舒曼, 安迪·瑟金斯, 朱莉·德尔佩, 斯坦·李, 亨利·古德曼, 多米尼克·普罗沃斯特-切克利, 艾萨克·安德鲁斯","动作, 科幻, 奇幻, 冒险",美国 , 英语 / 韩语 ,"2015-05-12(中国大陆)', '2015-05-01(美国)",142, 复仇者联盟2 / 复仇者联盟：奥创时代 / 复仇者联盟：奥创年代 / 复联2 / 妇联2(豆友译名) / Marvel Avengers: Age of Ultron / The Avengers 2 / After Party,7.4,408522,18.8,41.1,34.5,4.6,0.9,"科幻, 美国, 漫威, 复仇者联盟, 超级英雄, Marvel, 动作, 2015",1045720,43129,76328,665,97,215,2010-2020,2015-05-12,美国,257599886.656049,1292632336.88177
tt1859438,hot,https://movie.douban.com/subject/4739952/,初恋这件小事 สิ่งเล็กเล็กที่เรียกว่า...รัก,2010,"普特鹏·普罗萨卡·那·萨克那卡林, 华森·波克彭",普特鹏·普罗萨卡·那·萨克那卡林,"平采娜·乐维瑟派布恩, 马里奥·毛瑞尔, 苏达拉·布查蓬, 雅尼卡·桑普蕾舞, 诺特·阿查拉那·阿瑞亚卫考, 皮拉瓦特·赫拉巴特, 普特鹏·普罗萨卡·那·萨克那卡林, 华森·波克彭","剧情, 喜剧, 爱情",泰国 , 泰语 / 印度尼西亚语 / 英语 ,"2012-06-05(中国大陆)', '2010-08-12(泰国)",118, 初恋那件小事(港) / 暗恋那点小事 / 叫做爱的小事 / Sing lek lek tee reak wa rak / A Little Thing Called Love / First Love,8.4,731215,39.6,42.4,16.1,1.5,0.4,"青春, 爱情, 泰国, 初恋, 校园, 成长, 少年, 2010",1343181,88458,164616,4154,191,20,2000-2010,2012-06-05,泰国,0.0,0.0
